=== 语义排序结果体验 ===
算法: sorted_pure_hamming_opt_2000.txt
单词总数: 2000
【核心性能与质量指标】
- 排序计算耗时: 259.830 ms
- 平均相邻汉明距离: 589.99 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 903 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 1997
--------------------------------------------------

00001. handshake          (起点)
00078. credible           (相邻汉明距离: 534)
00079. conscious          (相邻汉明距离: 481)
00080. cation             (相邻汉明距离: 524)
00081. crow               (相邻汉明距离: 486)
00082. cow                (相邻汉明距离: 461)
00083. coop               (相邻汉明距离: 481)
00084. cop                (相邻汉明距离: 365)
00085. cox                (相邻汉明距离: 494)
00086. cole               (相邻汉明距离: 437)
00087. col                (相邻汉明距离: 404)
00088. collector          (相邻汉明距离: 545)
00089. detector           (相邻汉明距离: 526)
00090. detector station   (相邻汉明距离: 536)
00091. detecting system   (相邻汉明距离: 605)
00092. detectable         (相邻汉明距离: 497)
00093. detective          (相邻汉明距离: 581)
00094. detraction         (相邻汉明距离: 708)
00095. detract from       (相邻汉明距离: 453)
00096. detriment          (相邻汉明距离: 553)
00097. detrimental        (相邻汉明距离: 240)
00098. damaged            (相邻汉明距离: 571)
00099. damned             (相邻汉明距离: 479)
00100. damn it            (相邻汉明距离: 457)
00101. dam up             (相邻汉明距离: 528)
00102. damp               (相邻汉明距离: 485)
00103. damper             (相邻汉明距离: 465)
00104. damping            (相邻汉明距离: 488)
00105. dazed              (相邻汉明距离: 675)
00106. daze               (相邻汉明距离: 389)
00107. doze               (相邻汉明距离: 585)
00108. lose consciousness (相邻汉明距离: 664)
00109. Lost               (相邻汉明距离: 689)
00110. lost               (相邻汉明距离: 281)
00111. death              (相邻汉明距离: 568)
00112. die of...          (相邻汉明距离: 548)
00113. die from           (相邻汉明距离: 428)
00114. die away           (相邻汉明距离: 444)
00115. decayed            (相邻汉明距离: 615)
00116. decad              (相邻汉明距离: 460)
00117. decadent           (相邻汉明距离: 403)
00118. decadence          (相邻汉明距离: 251)
00119. decency            (相邻汉明距离: 535)
00120. decent             (相邻汉明距离: 488)
00121. decorous           (相邻汉明距离: 565)
00122. courteously        (相邻汉明距离: 641)
00123. courteous          (相邻汉明距离: 289)
00124. courageous         (相邻汉明距离: 558)
00125. cowardice          (相邻汉明距离: 591)
00126. cowardly           (相邻汉明距离: 354)
00127. cowboy             (相邻汉明距离: 560)
00128. cower              (相邻汉明距离: 615)
00129. crow over          (相邻汉明距离: 585)
00130. crow one's head off (相邻汉明距离: 530)
00131. crowds of...       (相邻汉明距离: 704)
00132. crowed             (相邻汉明距离: 533)
00133. crowding           (相邻汉明距离: 411)
00134. crowd out (of)     (相邻汉明距离: 643)
00135. cross out          (相邻汉明距离: 623)
00136. cross off          (相邻汉明距离: 513)
00137. come off           (相邻汉明距离: 540)
00138. cool off           (相邻汉明距离: 510)
00139. cool down          (相邻汉明距离: 377)
00140. cooler             (相邻汉明距离: 464)
00141. coolest            (相邻汉明距离: 488)
00142. coolness           (相邻汉明距离: 474)
00143. cozy               (相邻汉明距离: 597)
00144. cushy              (相邻汉明距离: 528)
00145. cuteness           (相邻汉明距离: 591)
00146. cruelty            (相邻汉明距离: 558)
00147. crippled           (相邻汉明距离: 659)
00148. cripple            (相邻汉明距离: 230)
00149. crippling          (相邻汉明距离: 423)
00150. crytic             (相邻汉明距离: 550)
00151. cry out            (相邻汉明距离: 475)
00152. cry out (for)      (相邻汉明距离: 284)
00153. crutch             (相邻汉明距离: 672)
00154. crank              (相邻汉明距离: 554)
00155. cranky             (相邻汉明距离: 461)
00156. cringing           (相邻汉明距离: 504)
00157. crinkle            (相邻汉明距离: 550)
00158. crackle            (相邻汉明距离: 471)
00159. crack              (相邻汉明距离: 460)
00160. crack a joke       (相邻汉明距离: 519)
00161. crumble            (相邻汉明距离: 678)
00162. crushed            (相邻汉明距离: 489)
00163. crush              (相邻汉明距离: 346)
00164. crux               (相邻汉明距离: 593)
00165. crisis             (相邻汉明距离: 600)
00166. criterion          (相邻汉明距离: 665)
00167. critique           (相邻汉明距离: 542)
00168. criticize          (相邻汉明距离: 422)
00169. criticise          (相邻汉明距离: 193)
00170. critically         (相邻汉明距离: 552)
00171. critical           (相邻汉明距离: 434)
00172. constant           (相邻汉明距离: 536)
00173. continuous         (相邻汉明距离: 450)
00174. continued          (相邻汉明距离: 365)
00175. continuation       (相邻汉明距离: 459)
00176. continuance        (相邻汉明距离: 373)
00177. contiguity         (相邻汉明距离: 561)
00178. contingency        (相邻汉明距离: 554)
00179. containment        (相邻汉明距离: 594)
00180. container          (相邻汉明距离: 522)
00181. contents           (相邻汉明距离: 575)
00182. content            (相邻汉明距离: 301)
00183. content provider   (相邻汉明距离: 566)
00184. content with       (相邻汉明距离: 435)
00185. content oneself with (相邻汉明距离: 491)
00186. concern oneself with (相邻汉明距离: 644)
00187. dedicate oneself to (相邻汉明距离: 616)
00188. dedicate... to     (相邻汉明距离: 368)
00189. dedicate to        (相邻汉明距离: 212)
00190. dedicate           (相邻汉明距离: 186)
00191. dedication         (相邻汉明距离: 350)
00192. deed               (相邻汉明距离: 626)
00193. deed of security   (相邻汉明距离: 442)
00194. deem               (相邻汉明距离: 685)
00195. deceive into       (相邻汉明距离: 642)
00196. deceive            (相邻汉明距离: 219)
00197. deceit             (相邻汉明距离: 494)
00198. counterfeit        (相邻汉明距离: 619)
00199. counterfeiting     (相邻汉明距离: 408)
00200. counteract         (相邻汉明距离: 640)
00201. contrary to        (相邻汉明距离: 577)
00202. contrary           (相邻汉明距离: 270)
00203. contr.             (相邻汉明距离: 518)
00204. contrite           (相邻汉明距离: 566)
00205. contrived          (相邻汉明距离: 570)
00206. contrivance        (相邻汉明距离: 396)
00207. concoction         (相邻汉明距离: 567)
00208. concoct            (相邻汉明距离: 302)
00209. concentrated       (相邻汉明距离: 624)
00210. concentration      (相邻汉明距离: 347)
00211. deconcentration    (相邻汉明距离: 520)
00212. decongestant       (相邻汉明距离: 573)
00213. cortisone          (相邻汉明距离: 670)
00214. hormone            (相邻汉明距离: 638)
00215. homeostasis        (相邻汉明距离: 652)
00216. circulation        (相邻汉明距离: 668)
00217. circulatory        (相邻汉明距离: 353)
00218. connective tissue  (相邻汉明距离: 681)
00219. conjoin            (相邻汉明距离: 697)
00220. conjugate          (相邻汉明距离: 494)
00221. congruous          (相邻汉明距离: 581)
00222. concordant         (相邻汉明距离: 510)
00223. concurrence        (相邻汉明距离: 479)
00224. concur             (相邻汉明距离: 415)
00225. concurrently       (相邻汉明距离: 525)
00226. concentric         (相邻汉明距离: 600)
00227. conical            (相邻汉明距离: 586)
00228. cone bottom        (相邻汉明距离: 548)
00229. concise            (相邻汉明距离: 703)
00230. conciseness        (相邻汉明距离: 398)
00231. constancy          (相邻汉明距离: 660)
00232. constitution       (相邻汉明距离: 588)
00233. constituency       (相邻汉明距离: 536)
00234. consist of         (相邻汉明距离: 653)
00235. consist in         (相邻汉明距离: 337)
00236. in principle       (相邻汉明距离: 699)
00237. continuity principle (相邻汉明距离: 626)
00238. consistency principle (相邻汉明距离: 570)
00239. inconsistency      (相邻汉明距离: 530)
00240. consistency        (相邻汉明距离: 411)
00241. consensus          (相邻汉明距离: 462)
00242. consolidate        (相邻汉明距离: 571)
00243. consolidated fund  (相邻汉明距离: 493)
00244. consolidated corporation (相邻汉明距离: 520)
00245. conglomeration     (相邻汉明距离: 585)
00246. conglomerate       (相邻汉明距离: 392)
00247. glomerate          (相邻汉明距离: 542)
00248. conflate           (相邻汉明距离: 643)
00249. confluence         (相邻汉明距离: 554)
00250. convergence        (相邻汉明距离: 593)
00251. conventionality    (相邻汉明距离: 578)
00252. conventional       (相邻汉明距离: 458)
00253. conventional memory (相邻汉明距离: 517)
00254. conforming         (相邻汉明距离: 675)
00255. conform            (相邻汉明距离: 313)
00256. conform to         (相邻汉明距离: 298)
00257. conformity         (相邻汉明距离: 464)
00258. conscience         (相邻汉明距离: 629)
00259. consciously        (相邻汉明距离: 584)
00260. conspicuously      (相邻汉明距离: 578)
00261. conspicuous consumption (相邻汉明距离: 503)
00262. consumption-oriented (相邻汉明距离: 547)
00263. consumption        (相邻汉明距离: 440)
00264. consumed           (相邻汉明距离: 405)
00265. consume            (相邻汉明距离: 374)
00266. consumables        (相邻汉明距离: 548)
00267. consumeristic      (相邻汉明距离: 623)
00268. conservatism       (相邻汉明距离: 678)
00269. conservative       (相邻汉明距离: 339)
00270. conserve           (相邻汉明距离: 476)
00271. conservationist    (相邻汉明距离: 529)
00272. creationist        (相邻汉明距离: 679)
00273. creator            (相邻汉明距离: 673)
00274. creative           (相邻汉明距离: 408)
00275. creatively         (相邻汉明距离: 488)
00276. crazily            (相邻汉明距离: 619)
00277. insane             (相邻汉明距离: 599)
00278. insufferable       (相邻汉明距离: 576)
00279. detestable         (相邻汉明距离: 550)
00280. despicably         (相邻汉明距离: 531)
00281. despair of         (相邻汉明距离: 579)
00282. despair            (相邻汉明距离: 203)
00283. despairing         (相邻汉明距离: 181)
00284. desperate          (相邻汉明距离: 401)
00285. despondent         (相邻汉明距离: 546)
00286. dejected           (相邻汉明距离: 548)
00287. deject             (相邻汉明距离: 414)
00288. debase             (相邻汉明距离: 577)
00289. decreasing         (相邻汉明距离: 571)
00290. decrease           (相邻汉明距离: 298)
00291. decrement          (相邻汉明距离: 435)
00292. decrease volume    (相邻汉明距离: 543)
00293. diminuendo         (相邻汉明距离: 636)
00294. condescending      (相邻汉明距离: 642)
00295. condescension      (相邻汉明距离: 369)
00296. condign            (相邻汉明距离: 577)
00297. condemn sb. to do sth. (相邻汉明距离: 600)
00298. condemn sb. to sth. (相邻汉明距离: 162)
00299. deny sth. to sb.   (相邻汉明距离: 583)
00300. deny someone something (相邻汉明距离: 514)
00301. deny something to someone (相邻汉明距离: 281)
00302. dent               (相邻汉明距离: 680)
00303. dept               (相邻汉明距离: 450)
00304. dept.              (相邻汉明距离: 398)
00305. departure          (相邻汉明距离: 635)
00306. departure lounge   (相邻汉明距离: 519)
00307. luggage office     (相邻汉明距离: 684)
00308. hangar             (相邻汉明距离: 753)
00309. hangings           (相邻汉明距离: 578)
00310. hang over          (相邻汉明距离: 515)
00311. headlock           (相邻汉明距离: 661)
00312. head               (相邻汉明距离: 535)
00313. header             (相邻汉明距离: 412)
00314. caption            (相邻汉明距离: 589)
00315. citation           (相邻汉明距离: 574)
00316. copyright          (相邻汉明距离: 560)
00317. rights             (相邻汉明距离: 602)
00318. ring               (相邻汉明距离: 520)
00319. ire                (相邻汉明距离: 528)
00320. dire               (相邻汉明距离: 512)
00321. dad                (相邻汉明距离: 473)
00322. da                 (相邻汉明距离: 350)
00323. default            (相邻汉明距离: 498)
00324. desired            (相邻汉明距离: 510)
00325. desk               (相邻汉明距离: 499)
00326. compute            (相邻汉明距离: 542)
00327. computation        (相邻汉明距离: 445)
00328. computability      (相邻汉明距离: 524)
00329. computerized       (相邻汉明距离: 650)
00330. commercial computer (相邻汉明距离: 502)
00331. desktop computer   (相邻汉明距离: 544)
00332. computer operator  (相邻汉明距离: 607)
00333. computer user      (相邻汉明距离: 458)
00334. computer resource  (相邻汉明距离: 557)
00335. computer room      (相邻汉明距离: 532)
00336. computer store     (相邻汉明距离: 501)
00337. computergame       (相邻汉明距离: 610)
00338. lose a game        (相邻汉明距离: 652)
00339. Grasp all, lose all (相邻汉明距离: 642)
00340. remove all         (相邻汉明距离: 658)
00341. delete all         (相邻汉明距离: 376)
00342. delete list        (相邻汉明距离: 488)
00343. deletion           (相邻汉明距离: 512)
00344. destruction        (相邻汉明距离: 591)
00345. degradation        (相邻汉明距离: 581)
00346. degenerative       (相邻汉明距离: 534)
00347. degeneration       (相邻汉明距离: 388)
00348. degression         (相邻汉明距离: 374)
00349. degressive tax     (相邻汉明距离: 451)
00350. degressive cost    (相邻汉明距离: 444)
00351. derogatory         (相邻汉明距离: 707)
00352. demeaning          (相邻汉明距离: 605)
00353. demeanor           (相邻汉明距离: 463)
00354. demoralizing       (相邻汉明距离: 592)
00355. depressing         (相邻汉明距离: 590)
00356. depression         (相邻汉明距离: 363)
00357. depredate          (相邻汉明距离: 614)
00358. depreciate         (相邻汉明距离: 578)
00359. deteriorate        (相邻汉明距离: 519)
00360. deter              (相邻汉明距离: 585)
00361. determiner         (相邻汉明距离: 566)
00362. determinable       (相邻汉明距离: 468)
00363. determined         (相邻汉明距离: 386)
00364. decided            (相邻汉明距离: 556)
00365. decide on          (相邻汉明距离: 347)
00366. decide on (sth.)   (相邻汉明距离: 274)
00367. decisiveness       (相邻汉明距离: 595)
00368. distinctiveness    (相邻汉明距离: 570)
00369. difference         (相邻汉明距离: 607)
00370. differently        (相邻汉明距离: 548)
00371. different from     (相邻汉明距离: 443)
00372. diffident          (相邻汉明距离: 581)
00373. diffidently        (相邻汉明距离: 227)
00374. differentiator     (相邻汉明距离: 592)
00375. differentiation    (相邻汉明距离: 551)
00376. derivative         (相邻汉明距离: 532)
00377. derivation         (相邻汉明距离: 479)
00378. derby              (相邻汉明距离: 648)
00379. derrick            (相邻汉明距离: 632)
00380. dick               (相邻汉明距离: 594)
00381. dickens            (相邻汉明距离: 548)
00382. dandified          (相邻汉明距离: 704)
00383. dandy              (相邻汉明距离: 471)
00384. dainty             (相邻汉明距离: 491)
00385. dainty about       (相邻汉明距离: 223)
00386. doughty            (相邻汉明距离: 600)
00387. dough              (相邻汉明距离: 588)
00388. oatmeal            (相邻汉明距离: 636)
00389. dairy product      (相邻汉明距离: 694)
00390. dairy farming      (相邻汉明距离: 439)
00391. dairymaid          (相邻汉明距离: 580)
00392. dame               (相邻汉明距离: 675)
00393. daisy              (相邻汉明距离: 646)
00394. daisy-chain        (相邻汉明距离: 499)
00395. chained            (相邻汉明距离: 538)
00396. constrained        (相邻汉明距离: 618)
00397. constrain          (相邻汉明距离: 312)
00398. constraint         (相邻汉明距离: 454)
00399. compatible         (相邻汉明距离: 536)
00400. compatibility      (相邻汉明距离: 467)
00401. comparator         (相邻汉明距离: 670)
00402. competitor         (相邻汉明距离: 645)
00403. competitiveness    (相邻汉明距离: 522)
00404. competent          (相邻汉明距离: 624)
00405. helpful            (相邻汉明距离: 641)
00406. Help!              (相邻汉明距离: 550)
00407. help someone with something (相邻汉明距离: 537)
00408. go on doing something (相邻汉明距离: 673)
00409. feel like doing sth. (相邻汉明距离: 515)
00410. feel like          (相邻汉明距离: 475)
00411. feel well          (相邻汉明距离: 537)
00412. feel up to         (相邻汉明距离: 615)
00413. climb up           (相邻汉明距离: 627)
00414. creep up on        (相邻汉明距离: 528)
00415. creepy             (相邻汉明距离: 535)
00416. creamy             (相邻汉明距离: 639)
00417. cremate            (相邻汉明距离: 594)
00418. cremation          (相邻汉明距离: 346)
00419. crematorium        (相邻汉明距离: 280)
00420. death certificate  (相邻汉明距离: 681)
00421. death rate         (相邻汉明距离: 614)
00422. death blow         (相邻汉明距离: 635)
00423. deathly            (相邻汉明距离: 550)
00424. deadly             (相邻汉明距离: 241)
00425. dangerous          (相邻汉明距离: 517)
00426. high-risk          (相邻汉明距离: 554)
00427. High               (相邻汉明距离: 632)
00428. highest            (相邻汉明距离: 363)
00429. highlight          (相邻汉明距离: 517)
00430. HY                 (相邻汉明距离: 615)
00431. HB                 (相邻汉明距离: 464)
00432. HP                 (相邻汉明距离: 487)
00433. hop                (相邻汉明距离: 417)
00434. haven              (相邻汉明距离: 480)
00435. hell               (相邻汉明距离: 512)
00436. hole               (相邻汉明距离: 470)
00437. hog                (相邻汉明距离: 506)
00438. hound              (相邻汉明距离: 422)
00439. crest              (相邻汉明距离: 613)
00440. chest              (相邻汉明距离: 523)
00441. chair              (相邻汉明距离: 517)
00442. changer            (相邻汉明距离: 488)
00443. changeable         (相邻汉明距离: 490)
00444. changeability      (相邻汉明距离: 307)
00445. change for the better (相邻汉明距离: 546)
00446. for better or worse (相邻汉明距离: 532)
00447. poor               (相邻汉明距离: 645)
00448. inadequate         (相邻汉明距离: 626)
00449. inconvenient       (相邻汉明距离: 557)
00450. conveniently       (相邻汉明距离: 502)
00451. convenient for     (相邻汉明距离: 322)
00452. convenience        (相邻汉明距离: 440)
00453. convenience food   (相邻汉明距离: 479)
00454. convene            (相邻汉明距离: 717)
00455. confer on          (相邻汉明距离: 571)
00456. confer a medal on sb. (相邻汉明距离: 557)
00457. develop confidence in sb. (相邻汉明距离: 617)
00458. credit sb with sth (相邻汉明距离: 578)
00459. catch sb up        (相邻汉明距离: 585)
00460. catch sb's eye     (相邻汉明距离: 445)
00461. catch sb.'s eye    (相邻汉明距离: 147)
00462. catch the eye      (相邻汉明距离: 534)
00463. catch the eye of   (相邻汉明距离: 162)
00464. catch one's eye    (相邻汉明距离: 300)
00465. catch one's attention (相邻汉明距离: 512)
00466. catch the fancy of (相邻汉明距离: 587)
00467. catch the point    (相邻汉明距离: 605)
00468. data point         (相邻汉明距离: 609)
00469. for data           (相邻汉明距离: 668)
00470. digital data       (相邻汉明距离: 619)
00471. digital information (相邻汉明距离: 494)
00472. digital computer   (相邻汉明距离: 627)
00473. digit circuit      (相邻汉明距离: 575)
00474. dig in             (相邻汉明距离: 588)
00475. dig into           (相邻汉明距离: 350)
00476. dig out            (相邻汉明距离: 480)
00477. digger             (相邻汉明距离: 484)
00478. dingus             (相邻汉明距离: 604)
00479. dingo              (相邻汉明距离: 561)
00480. dingy              (相邻汉明距离: 579)
00481. dinghy             (相邻汉明距离: 568)
00482. dash               (相邻汉明距离: 709)
00483. dash-out           (相邻汉明距离: 449)
00484. dash off           (相邻汉明距离: 392)
00485. dash one's hopes   (相邻汉明距离: 637)
00486. Hope Darwin        (相邻汉明距离: 718)
00487. Helen Keller       (相邻汉明距离: 627)
00488. Helen              (相邻汉明距离: 579)
00489. HELEN              (相邻汉明距离: 374)
00490. hilt               (相邻汉明距离: 636)
00491. hitch              (相邻汉明距离: 571)
00492. hitchhike          (相邻汉明距离: 375)
00493. hitch-hiker        (相邻汉明距离: 306)
00494. hunch              (相邻汉明距离: 649)
00495. hunger             (相邻汉明距离: 611)
00496. die of hunger      (相邻汉明距离: 568)
00497. die break          (相邻汉明距离: 732)
00498. deadbeat           (相邻汉明距离: 642)
00499. debtor             (相邻汉明距离: 565)
00500. creditor           (相邻汉明距离: 525)
00501. creditor right     (相邻汉明距离: 426)
00502. creditor ledger    (相邻汉明距离: 532)
00503. creditor beneficiary (相邻汉明距离: 566)
00504. custodian          (相邻汉明距离: 687)
00505. custody            (相邻汉明距离: 532)
00506. captivity          (相邻汉明距离: 704)
00507. confinement        (相邻汉明距离: 714)
00508. confines           (相邻汉明距离: 386)
00509. confide in         (相邻汉明距离: 559)
00510. confide            (相邻汉明距离: 244)
00511. confidant          (相邻汉明距离: 482)
00512. confidentially     (相邻汉明距离: 609)
00513. confidential       (相邻汉明距离: 300)
00514. confessional       (相邻汉明距离: 501)
00515. confession         (相邻汉明距离: 381)
00516. confess            (相邻汉明距离: 314)
00517. confront           (相邻汉明距离: 592)
00518. confrontation      (相邻汉明距离: 295)
00519. consummation       (相邻汉明距离: 648)
00520. connubial          (相邻汉明距离: 620)
00521. concubine          (相邻汉明距离: 566)
00522. coxcomb            (相邻汉明距离: 699)
00523. cooper             (相邻汉明距离: 635)
00524. cooperation        (相邻汉明距离: 503)
00525. cohere             (相邻汉明距离: 655)
00526. coo                (相邻汉明距离: 600)
00527. cue                (相邻汉明距离: 608)
00528. cue in             (相邻汉明距离: 518)
00529. cunning            (相邻汉明距离: 684)
00530. cunningly          (相邻汉明距离: 273)
00531. curiously          (相邻汉明距离: 615)
00532. curious about...   (相邻汉明距离: 471)
00533. curiosity          (相邻汉明距离: 528)
00534. incurious          (相邻汉明距离: 559)
00535. incur              (相邻汉明距离: 485)
00536. incommode          (相邻汉明距离: 632)
00537. immodest           (相邻汉明距离: 603)
00538. immoral            (相邻汉明距离: 624)
00539. immaculate         (相邻汉明距离: 636)
00540. imminence          (相邻汉明距离: 675)
00541. imminent           (相邻汉明距离: 373)
00542. impending          (相邻汉明距离: 444)
00543. imponderable       (相邻汉明距离: 611)
00544. impassable         (相邻汉明距离: 538)
00545. impregnable        (相邻汉明距离: 483)
00546. inalienable        (相邻汉明距离: 582)
00547. inextricably       (相邻汉明距离: 619)
00548. inexpressible      (相邻汉明距离: 580)
00549. inaudible          (相邻汉明距离: 635)
00550. insensible         (相邻汉明距离: 629)
00551. insidious          (相邻汉明距离: 544)
00552. insincere          (相邻汉明距离: 614)
00553. insolent           (相邻汉明距离: 571)
00554. impertinence       (相邻汉明距离: 537)
00555. imposture          (相邻汉明距离: 585)
00556. implausible        (相邻汉明距离: 616)
00557. complex            (相邻汉明距离: 643)
00558. dense              (相邻汉明距离: 543)
00559. depth              (相邻汉明距离: 438)
00560. deeper             (相邻汉明距离: 490)
00561. deepen             (相邻汉明距离: 396)
00562. depths             (相邻汉明距离: 540)
00563. j                  (相邻汉明距离: 669)
00564. FI                 (相邻汉明距离: 605)
00565. Fine               (相邻汉明距离: 548)
00566. fineness           (相邻汉明距离: 540)
00567. grinding           (相邻汉明距离: 652)
00568. grille             (相邻汉明距离: 600)
00569. Greif              (相邻汉明距离: 662)
00570. Grie               (相邻汉明距离: 620)
00571. Grecian            (相邻汉明距离: 632)
00572. Garcia             (相邻汉明距离: 632)
00573. GE                 (相邻汉明距离: 631)
00574. LE                 (相邻汉明距离: 554)
00575. Leo                (相邻汉明距离: 466)
00576. Fred               (相邻汉明距离: 604)
00577. Friend             (相邻汉明距离: 610)
00578. connected          (相邻汉明距离: 625)
00579. connecting         (相邻汉明距离: 273)
00580. connexion          (相邻汉明距离: 318)
00581. connector          (相邻汉明距离: 388)
00582. controller         (相邻汉明距离: 519)
00583. controlling        (相邻汉明距离: 526)
00584. controllability    (相邻汉明距离: 432)
00585. control class      (相邻汉明距离: 516)
00586. control desk       (相邻汉明距离: 565)
00587. digital control    (相邻汉明距离: 593)
00588. digital signalling (相邻汉明距离: 675)
00589. digital audio tape (相邻汉明距离: 705)
00590. digital optical recording (相邻汉明距离: 622)
00591. digital video      (相邻汉明距离: 642)
00592. DVD player DVD     (相邻汉明距离: 661)
00593. CD ROM             (相邻汉明距离: 738)
00594. copy diskette      (相邻汉明距离: 637)
00595. diagnostic diskette (相邻汉明距离: 548)
00596. diagnostic program (相邻汉明距离: 591)
00597. diagnostic tool    (相邻汉明距离: 474)
00598. debugging tool     (相邻汉明距离: 450)
00599. debugger           (相邻汉明距离: 478)
00600. debug statement    (相邻汉明距离: 446)
00601. diagnostic message (相邻汉明距离: 560)
00602. give sb a message  (相邻汉明距离: 672)
00603. go off sb          (相邻汉明距离: 685)
00604. gob                (相邻汉明距离: 598)
00605. goodby             (相邻汉明距离: 562)
00606. close in           (相邻汉明距离: 673)
00607. clamp              (相邻汉明距离: 643)
00608. clampdown          (相邻汉明距离: 507)
00609. clamp down on      (相邻汉明距离: 247)
00610. clench             (相邻汉明距离: 581)
00611. clump              (相邻汉明距离: 523)
00612. clumsy             (相邻汉明距离: 554)
00613. clamorous          (相邻汉明距离: 617)
00614. climactic          (相邻汉明距离: 593)
00615. cryptic            (相邻汉明距离: 685)
00616. cryptogram         (相邻汉明距离: 533)
00617. cryptographic      (相邻汉明距离: 547)
00618. cryptography       (相邻汉明距离: 372)
00619. decrypt            (相邻汉明距离: 629)
00620. decoder            (相邻汉明距离: 515)
00621. decimal            (相邻汉明距离: 573)
00622. dice               (相邻汉明距离: 576)
00623. icky               (相邻汉明距离: 594)
00624. inflate            (相邻汉明距离: 555)
00625. increase           (相邻汉明距离: 503)
00626. crease             (相邻汉明距离: 236)
00627. creases            (相邻汉明距离: 502)
00628. increasingly       (相邻汉明距离: 549)
00629. demonstrably       (相邻汉明距离: 666)
00630. demonstrative      (相邻汉明距离: 359)
00631. demonstration      (相邻汉明距离: 394)
00632. demonstrator       (相邻汉明距离: 369)
00633. demon              (相邻汉明距离: 623)
00634. demonic            (相邻汉明距离: 398)
00635. devilish           (相邻汉明距离: 551)
00636. devilishly         (相邻汉明距离: 237)
00637. devilled           (相邻汉明距离: 493)
