=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp_opt_2000.txt
单词总数: 2000
【核心性能与质量指标】
- 排序计算耗时: 74.508 ms
- 平均相邻汉明距离: 690.02 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 904 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 1998
--------------------------------------------------

00001. handshake          (起点)
00073. decad              (相邻汉明距离: 667)
00074. hyperbole          (相邻汉明距离: 789)
00075. hypocrisy          (相邻汉明距离: 587)
00076. contemptuous       (相邻汉明距离: 686)
00077. complaisant        (相邻汉明距离: 607)
00078. delightfully       (相邻汉明距离: 608)
00079. curiously          (相邻汉明距离: 673)
00080. consider           (相邻汉明距离: 652)
00081. confirm            (相邻汉明距离: 504)
00082. compute            (相邻汉明距离: 565)
00083. develop            (相邻汉明距离: 525)
00084. covering           (相邻汉明距离: 597)
00085. difference         (相邻汉明距离: 624)
00086. desired            (相邻汉明距离: 553)
00087. contra             (相邻汉明距离: 541)
00088. crease             (相邻汉明距离: 551)
00089. increase           (相邻汉明距离: 236)
00090. concentration      (相邻汉明距离: 627)
00091. concentrated       (相邻汉明距离: 347)
00092. constrained        (相邻汉明距离: 576)
00093. confines           (相邻汉明距离: 493)
00094. contemplate        (相邻汉明距离: 675)
00095. contumelious       (相邻汉明距离: 651)
00096. impertinence       (相邻汉明距离: 680)
00097. indulgence         (相邻汉明距离: 664)
00098. indoor             (相邻汉明距离: 636)
00099. consumer market    (相邻汉明距离: 809)
00100. consumption        (相邻汉明距离: 639)
00101. conspectus         (相邻汉明距离: 654)
00102. definition         (相邻汉明距离: 711)
00103. dictionary         (相邻汉明距离: 621)
00104. caption            (相邻汉明距离: 666)
00105. crytic             (相邻汉明距离: 706)
00106. cryptic            (相邻汉明距离: 518)
00107. culinary           (相邻汉明距离: 727)
00108. courteous          (相邻汉明距离: 728)
00109. courteously        (相邻汉明距离: 289)
00110. fruitfully         (相邻汉明距离: 686)
00111. fitfully           (相邻汉明距离: 582)
00112. cupful             (相邻汉明距离: 711)
00113. fennel             (相邻汉明距离: 750)
00114. Grecian            (相邻汉明距离: 770)
00115. HELEN              (相邻汉明距离: 694)
00116. Hope Darwin        (相邻汉明距离: 648)
00117. drag on            (相邻汉明距离: 766)
00118. chained            (相邻汉明距离: 714)
00119. chromium           (相邻汉明距离: 687)
00120. cherry             (相邻汉明距离: 651)
00121. charger            (相邻汉明距离: 702)
00122. reveal             (相邻汉明距离: 655)
00123. ire                (相邻汉明距离: 624)
00124. intensity          (相邻汉明距离: 682)
00125. impartial          (相邻汉明距离: 743)
00126. indeterminable     (相邻汉明距离: 700)
00127. indicate           (相邻汉明距离: 627)
00128. descend to         (相邻汉明距离: 732)
00129. come down (hard) on (相邻汉明距离: 644)
00130. hardly             (相邻汉明距离: 624)
00131. hardy              (相邻汉明距离: 516)
00132. hasty              (相邻汉明距离: 623)
00133. concise            (相邻汉明距离: 648)
00134. congruous          (相邻汉明距离: 628)
00135. derogatory         (相邻汉明距离: 717)
00136. decadent           (相邻汉明距离: 676)
00137. deciduous          (相邻汉明距离: 603)
00138. desiccate          (相邻汉明距离: 665)
00139. defalcate          (相邻汉明距离: 650)
00140. demerit            (相邻汉明距离: 685)
00141. deem               (相邻汉明距离: 678)
00142. declassify         (相邻汉明距离: 635)
00143. dedicate to        (相邻汉明距离: 716)
00144. dedicate oneself to (相邻汉明距离: 282)
00145. conceive of        (相邻汉明距离: 752)
00146. considered         (相邻汉明距离: 656)
00147. considering        (相邻汉明距离: 358)
00148. ignore             (相邻汉明距离: 634)
00149. indent             (相邻汉明距离: 562)
00150. constraint         (相邻汉明距离: 591)
00151. constructor        (相邻汉明距离: 620)
00152. connector          (相邻汉明距离: 597)
00153. connexion          (相邻汉明距离: 388)
00154. connecting         (相邻汉明距离: 318)
00155. connected          (相邻汉明距离: 273)
00156. continued          (相邻汉明距离: 546)
00157. dad                (相邻汉明距离: 598)
00158. dire               (相邻汉明距离: 473)
00159. ring               (相邻汉明距离: 600)
00160. rasher             (相邻汉明距离: 657)
00161. Hower              (相邻汉明距离: 723)
00162. Help!              (相邻汉明距离: 704)
00163. healthy            (相邻汉明距离: 689)
00164. highlight          (相邻汉明距离: 620)
00165. HY                 (相邻汉明距离: 615)
00166. HP                 (相邻汉明距离: 511)
00167. HTTP               (相邻汉明距离: 647)
00168. retrieve           (相邻汉明距离: 729)
00169. right then         (相邻汉明距离: 648)
00170. daytime            (相邻汉明距离: 663)
00171. day in day out     (相邻汉明距离: 559)
00172. down-and-out       (相邻汉明距离: 616)
00173. lotion             (相邻汉明距离: 824)
00174. colloid            (相邻汉明距离: 715)
00175. col                (相邻汉明距离: 602)
00176. cop                (相邻汉明距离: 543)
00177. continental        (相邻汉明距离: 658)
00178. Iraq               (相邻汉明距离: 595)
00179. Haiti              (相邻汉明距离: 573)
00180. Helsinki           (相邻汉明距离: 689)
00181. haven              (相邻汉明距离: 592)
00182. hound              (相邻汉明距离: 576)
00183. honey              (相邻汉明距离: 675)
00184. hunger             (相邻汉明距离: 670)
00185. humbug             (相邻汉明距离: 687)
00186. digression         (相邻汉明距离: 745)
00187. differently        (相邻汉明距离: 703)
00188. deeper             (相邻汉明距离: 669)
00189. dense              (相邻汉明距离: 616)
00190. complex            (相邻汉明距离: 543)
00191. cation             (相邻汉明距离: 558)
00192. contest            (相邻汉明距离: 477)
00193. rights             (相邻汉明距离: 615)
00194. consequent         (相邻汉明距离: 700)
00195. correspond to      (相邻汉明距离: 688)
00196. compare... with    (相邻汉明距离: 676)
00197. comparator         (相邻汉明距离: 566)
00198. check-out          (相邻汉明距离: 749)
00199. chargeable         (相邻汉明距离: 694)
00200. changeable         (相邻汉明距离: 652)
00201. defensible         (相邻汉明距离: 709)
00202. imponderable       (相邻汉明距离: 714)
00203. contumacious       (相邻汉明距离: 681)
00204. contumacy          (相邻汉明距离: 282)
00205. contumely          (相邻汉明距离: 318)
00206. cul-de-sac         (相邻汉明距离: 716)
00207. cityscape          (相邻汉明距离: 676)
00208. imagery            (相邻汉明距离: 776)
00209. integrated         (相邻汉明距离: 744)
00210. incommode          (相邻汉明距离: 727)
00211. inconvenient       (相邻汉明距离: 556)
00212. conveniently       (相邻汉明距离: 502)
00213. convenience        (相邻汉明距离: 424)
00214. convergence        (相邻汉明距离: 586)
00215. convalescence      (相邻汉明距离: 631)
00216. contrived          (相邻汉明距离: 741)
00217. credible           (相邻汉明距离: 677)
00218. busily             (相邻汉明距离: 637)
00219. inactive           (相邻汉明距离: 638)
00220. infrequent         (相邻汉明距离: 592)
00221. in common          (相邻汉明距离: 712)
00222. consult... about... (相邻汉明距离: 713)
00223. check out          (相邻汉明距离: 718)
00224. checkbook          (相邻汉明距离: 583)
00225. chrome             (相邻汉明距离: 773)
00226. Gui                (相邻汉明距离: 694)
00227. controller         (相邻汉明距离: 604)
00228. deploy             (相邻汉明距离: 683)
00229. deque              (相邻汉明距离: 657)
00230. declarator         (相邻汉明距离: 697)
00231. debtor             (相邻汉明距离: 726)
00232. determiner         (相邻汉明距离: 749)
00233. deter              (相邻汉明距离: 566)
00234. dilatory           (相邻汉明距离: 693)
00235. deflection         (相邻汉明距离: 719)
00236. changeability      (相邻汉明距离: 709)
00237. handwriting        (相邻汉明距离: 777)
00238. cursor home        (相邻汉明距离: 768)
00239. curb               (相邻汉明距离: 680)
00240. cursed             (相邻汉明距离: 571)
00241. resurrect          (相邻汉明距离: 705)
00242. buried             (相邻汉明距离: 698)
00243. catch sb. napping  (相邻汉明距离: 764)
00244. catch sb up        (相邻汉明距离: 533)
00245. sallow             (相邻汉明距离: 664)
00246. fresher            (相邻汉明距离: 768)
00247. FI                 (相邻汉明距离: 669)
00248. input              (相邻汉明距离: 587)
00249. inclusive          (相邻汉明距离: 525)
00250. imbue              (相邻汉明距离: 649)
00251. complement         (相邻汉明距离: 732)
00252. complementary      (相邻汉明距离: 376)
00253. competition        (相邻汉明距离: 673)
00254. competitor         (相邻汉明距离: 574)
00255. complaining        (相邻汉明距离: 711)
00256. compellation       (相邻汉明距离: 662)
00257. compunction        (相邻汉明距离: 536)
00258. conspicuously      (相邻汉明距离: 688)
00259. confront           (相邻汉明距离: 662)
00260. couldn't           (相邻汉明距离: 711)
00261. I can't help it.   (相邻汉明距离: 601)
00262. regrettably        (相邻汉明距离: 719)
00263. hell               (相邻汉明距离: 711)
00264. detestable         (相邻汉明距离: 664)
00265. dejected           (相邻汉明距离: 645)
00266. deplete            (相邻汉明距离: 611)
00267. deprive... of      (相邻汉明距离: 578)
00268. come off           (相邻汉明距离: 625)
00269. go off sb          (相邻汉明距离: 524)
00270. debilitate         (相邻汉明距离: 762)
00271. deceive into       (相邻汉明距离: 670)
00272. delight in sth.    (相邻汉明距离: 755)
00273. delight in         (相邻汉明距离: 320)
00274. delight            (相邻汉明距离: 179)
00275. detraction         (相邻汉明距离: 657)
00276. detriment          (相邻汉明距离: 530)
00277. detrimental        (相邻汉明距离: 240)
00278. deficit            (相邻汉明距离: 647)
00279. diction            (相邻汉明距离: 687)
00280. dainty about       (相邻汉明距离: 690)
00281. How about...       (相邻汉明距离: 756)
00282. How about... ?     (相邻汉明距离: 239)
00283. curious about...   (相邻汉明距离: 687)
00284. curvy              (相邻汉明距离: 700)
00285. curt               (相邻汉明距离: 551)
00286. curtain            (相邻汉明距离: 598)
00287. courthouse         (相邻汉明距离: 758)
00288. Garcia             (相邻汉明距离: 804)
00289. Hugo               (相邻汉明距离: 678)
00290. Havana             (相邻汉明距离: 670)
00291. Hongkong           (相邻汉明距离: 560)
00292. Alaska             (相邻汉明距离: 632)
00293. constitution       (相邻汉明距离: 736)
00294. configure          (相邻汉明距离: 621)
00295. chair              (相邻汉明距离: 633)
00296. clamp              (相邻汉明距离: 614)
00297. cypress            (相邻汉明距离: 701)
00298. cray               (相邻汉明距离: 634)
00299. crook              (相邻汉明距离: 641)
00300. cripple            (相邻汉明距离: 720)
00301. crippling          (相邻汉明距离: 423)
00302. cramped            (相邻汉明距离: 602)
00303. conciseness        (相邻汉明距离: 711)
00304. conclusively       (相邻汉明距离: 627)
00305. decide on (sth.)   (相邻汉明距离: 662)
00306. deny someone something (相邻汉明距离: 696)
00307. set sail           (相邻汉明距离: 827)
00308. hilt               (相邻汉明距离: 766)
00309. HIN                (相邻汉明距离: 605)
00310. herald             (相邻汉明距离: 712)
00311. chorus             (相邻汉明距离: 720)
00312. content with       (相邻汉明距离: 761)
00313. contingency        (相邻汉明距离: 733)
00314. renewal            (相邻汉明距离: 730)
00315. revocation         (相邻汉明距离: 629)
00316. revert             (相邻汉明距离: 527)
00317. counter purchase   (相邻汉明距离: 729)
00318. count for          (相邻汉明距离: 550)
00319. compare to         (相邻汉明距离: 707)
00320. initiate           (相邻汉明距离: 736)
00321. consignor          (相邻汉明距离: 737)
00322. conservative       (相邻汉明距离: 668)
00323. compatriot         (相邻汉明距离: 704)
00324. demonstrator       (相邻汉明距离: 751)
00325. councilor          (相邻汉明距离: 730)
00326. corder             (相邻汉明距离: 682)
00327. cose               (相邻汉明距离: 636)
00328. cower              (相邻汉明距离: 665)
00329. careworn           (相邻汉明距离: 703)
00330. removed from       (相邻汉明距离: 727)
00331. decayed            (相邻汉明距离: 630)
00332. deject             (相邻汉明距离: 608)
00333. defecation         (相邻汉明距离: 690)
00334. decency            (相邻汉明距离: 707)
00335. demoralizing       (相邻汉明距离: 698)
00336. dilapidation       (相邻汉明距离: 703)
00337. damaged            (相邻汉明距离: 648)
00338. damned             (相邻汉明距离: 479)
00339. defenceless        (相邻汉明距离: 678)
00340. devilled           (相邻汉明距离: 738)
00341. deadly             (相邻汉明距离: 676)
00342. die of...          (相邻汉明距离: 612)
00343. death              (相邻汉明距离: 548)
00344. deadened           (相邻汉明距离: 581)
00345. deafen             (相邻汉明距离: 525)
00346. debase             (相邻汉明距离: 604)
00347. degressive cost    (相邻汉明距离: 699)
00348. diminuendo         (相邻汉明距离: 774)
00349. condescending      (相邻汉明距离: 642)
00350. condolence         (相邻汉明距离: 642)
00351. condiments         (相邻汉明距离: 685)
00352. multiparty         (相邻汉明距离: 820)
00353. dept.              (相邻汉明距离: 745)
00354. definite           (相邻汉明距离: 676)
00355. definitely         (相邻汉明距离: 351)
00356. default            (相邻汉明距离: 653)
00357. crate              (相邻汉明距离: 674)
00358. critical           (相邻汉明距离: 611)
00359. cost               (相邻汉明距离: 614)
00360. contract           (相邻汉明距离: 624)
00361. construction       (相邻汉明距离: 596)
00362. construction trade (相邻汉明距离: 589)
00363. conversational     (相邻汉明距离: 784)
00364. counseling         (相邻汉明距离: 700)
00365. custody            (相邻汉明距离: 739)
00366. conserve           (相邻汉明距离: 743)
00367. consolidated fund  (相邻汉明距离: 684)
00368. concordat          (相邻汉明距离: 723)
00369. constituency       (相邻汉明距离: 717)
00370. consensus          (相邻汉明距离: 632)
00371. consistency        (相邻汉明距离: 462)
00372. concurrence        (相邻汉明距离: 561)
00373. huddle             (相邻汉明距离: 684)
00374. fluster            (相邻汉明距离: 711)
00375. busboy             (相邻汉明距离: 711)
00376. Friend             (相邻汉明距离: 762)
00377. mien               (相邻汉明距离: 686)
00378. inturn             (相邻汉明距离: 731)
00379. inalienable        (相邻汉明距离: 728)
00380. deliquescent       (相邻汉明距离: 742)
00381. declination        (相邻汉明距离: 714)
00382. doze               (相邻汉明距离: 775)
00383. dowry              (相邻汉明距离: 725)
00384. denim              (相邻汉明距离: 793)
00385. Henri Dunant       (相邻汉明距离: 738)
00386. Harry S. Truman    (相邻汉明距离: 668)
00387. Langley            (相邻汉明距离: 739)
00388. Lebanese           (相邻汉明距离: 730)
00389. Leo                (相邻汉明距离: 693)
00390. Heroes             (相邻汉明距离: 625)
00391. hindmost           (相邻汉明距离: 748)
00392. clumsy             (相邻汉明距离: 716)
00393. dexterity          (相邻汉明距离: 693)
00394. dice               (相邻汉明距离: 695)
00395. dash               (相邻汉明距离: 604)
00396. cps                (相邻汉明距离: 641)
00397. curve              (相邻汉明距离: 617)
00398. defy               (相邻汉明距离: 686)
00399. deftly             (相邻汉明距离: 586)
00400. decisiveness       (相邻汉明距离: 678)
00401. rigorous           (相邻汉明距离: 690)
00402. critically         (相邻汉明距离: 653)
00403. degradation        (相邻汉明距离: 758)
00404. deadweight         (相邻汉明距离: 749)
00405. die from           (相邻汉明距离: 743)
00406. diesel             (相邻汉明距离: 717)
00407. dingus             (相邻汉明距离: 697)
00408. dennis             (相邻汉明距离: 646)
00409. dandified          (相邻汉明距离: 677)
00410. dandy              (相邻汉明距离: 471)
00411. dainty             (相邻汉明距离: 491)
00412. daunting           (相邻汉明距离: 623)
00413. dappled            (相邻汉明距离: 674)
00414. damp               (相邻汉明距离: 600)
00415. dame               (相邻汉明距离: 616)
00416. rime               (相邻汉明距离: 672)
00417. da                 (相邻汉明距离: 687)
00418. continuous         (相邻汉明距离: 653)
00419. container          (相邻汉明距离: 614)
00420. gob                (相邻汉明距离: 661)
00421. goodby             (相邻汉明距离: 562)
00422. do... good         (相邻汉明距离: 694)
00423. common good        (相邻汉明距离: 679)
00424. have a good idea of (相邻汉明距离: 726)
00425. I see              (相邻汉明距离: 737)
00426. day by day         (相邻汉明距离: 803)
00427. right now          (相邻汉明距离: 706)
00428. for a while        (相邻汉明距离: 651)
00429. but then           (相邻汉明距离: 724)
00430. but for            (相邻汉明距离: 557)
00431. devour             (相邻汉明距离: 771)
00432. hovel              (相邻汉明距离: 740)
00433. haunted            (相邻汉明距离: 728)
00434. Faust              (相邻汉明距离: 695)
00435. Aesop              (相邻汉明距离: 707)
00436. hexagon            (相邻汉明距离: 758)
00437. cubic              (相邻汉明距离: 721)
00438. convert            (相邻汉明距离: 689)
00439. locale             (相邻汉明距离: 688)
00440. conversation       (相邻汉明距离: 745)
00441. creative           (相邻汉明距离: 648)
00442. confidential       (相邻汉明距离: 682)
00443. confide            (相邻汉明距离: 457)
00444. confide in         (相邻汉明距离: 244)
00445. constrain          (相邻汉明距离: 642)
00446. continued bond     (相邻汉明距离: 715)
00447. constant return    (相邻汉明距离: 743)
00448. compare with...    (相邻汉明距离: 735)
00449. correlate with...  (相邻汉明距离: 690)
00450. connote            (相邻汉明距离: 665)
00451. consonance         (相邻汉明距离: 648)
00452. constancy          (相邻汉明距离: 618)
00453. conventionality    (相邻汉明距离: 611)
00454. conspiracy         (相邻汉明距离: 683)
00455. conservatism       (相邻汉明距离: 675)
00456. despotism          (相邻汉明距离: 712)
00457. despite            (相邻汉明距离: 766)
00458. in respect of      (相邻汉明距离: 728)
00459. concern oneself with (相邻汉明距离: 690)
00460. content oneself with (相邻汉明距离: 644)
00461. inland             (相邻汉明距离: 707)
00462. Iranian            (相邻汉明距离: 743)
00463. Arab               (相邻汉明距离: 622)
00464. LE                 (相邻汉明距离: 690)
00465. cow                (相邻汉明距离: 633)
00466. cozy               (相邻汉明距离: 682)
00467. cushy              (相邻汉明距离: 528)
00468. cynic              (相邻汉明距离: 700)
00469. incurious          (相邻汉明距离: 722)
00470. coniferous         (相邻汉明距离: 795)
00471. ewer               (相邻汉明距离: 782)
00472. flooding           (相邻汉明距离: 724)
00473. flown              (相邻汉明距离: 671)
00474. fluidics           (相邻汉明距离: 708)
00475. compartment        (相邻汉明距离: 758)
00476. chomp              (相邻汉明距离: 699)
00477. compatibility      (相邻汉明距离: 736)
00478. correspond with    (相邻汉明距离: 703)
00479. correspondence     (相邻汉明距离: 485)
00480. corroborative      (相邻汉明距离: 633)
00481. cross-pollinate    (相邻汉明距离: 738)
00482. expiate            (相邻汉明距离: 734)
00483. culpable           (相邻汉明距离: 731)
00484. catch up           (相邻汉明距离: 700)
00485. catch up (on)      (相邻汉明距离: 304)
00486. congratulate... on... (相邻汉明距离: 639)
00487. congratulate...on  (相邻汉明距离: 131)
00488. congratulate       (相邻汉明距离: 272)
00489. congratulating     (相邻汉明距离: 194)
00490. congratulation     (相邻汉明距离: 239)
00491. condole with       (相邻汉明距离: 676)
00492. conform to         (相邻汉明距离: 670)
00493. conform            (相邻汉明距离: 298)
00494. consequently       (相邻汉明距离: 606)
00495. conducive          (相邻汉明距离: 661)
00496. conditioning       (相邻汉明距离: 685)
00497. conical            (相邻汉明距离: 731)
00498. creator            (相邻汉明距离: 720)
00499. current            (相邻汉明距离: 628)
00500. constant           (相邻汉明距离: 506)
00501. contact            (相邻汉明距离: 565)
00502. course             (相邻汉明距离: 611)
00503. course offering    (相邻汉明距离: 604)
00504. course of action   (相邻汉明距离: 715)
00505. open-access        (相邻汉明距离: 788)
00506. Aim                (相邻汉明距离: 791)
00507. curiosity          (相邻汉明距离: 744)
00508. craving            (相邻汉明距离: 697)
00509. drabness           (相邻汉明距离: 717)
00510. rough up           (相邻汉明距离: 717)
00511. curl up            (相邻汉明距离: 709)
00512. cupcake            (相邻汉明距离: 733)
00513. coo                (相邻汉明距离: 666)
00514. cowboy             (相邻汉明距离: 677)
00515. hothead            (相邻汉明距离: 725)
00516. heckler            (相邻汉明距离: 721)
00517. Henry Kaiser       (相邻汉明距离: 697)
00518. Harry Emerson Fosdick (相邻汉明距离: 692)
00519. Fred               (相邻汉明距离: 685)
00520. Fine               (相邻汉明距离: 681)
00521. Hawaii             (相邻汉明距离: 758)
00522. city state         (相邻汉明距离: 754)
00523. Warsaw             (相邻汉明距离: 719)
00524. chauvinist         (相邻汉明距离: 802)
00525. chopstick          (相邻汉明距离: 731)
00526. cherry-tree-chopping (相邻汉明距离: 641)
00527. chamber            (相邻汉明距离: 719)
00528. chambermaid        (相邻汉明距离: 539)
00529. charisma           (相邻汉明距离: 765)
00530. chap               (相邻汉明距离: 691)
00531. chunk              (相邻汉明距离: 536)
00532. charge             (相邻汉明距离: 532)
00533. sale               (相邻汉明距离: 688)
00534. local items        (相邻汉明距离: 772)
00535. hangings           (相邻汉明距离: 842)
00536. hitch              (相邻汉明距离: 652)
00537. hitch-hiker        (相邻汉明距离: 427)
00538. doughty            (相邻汉明距离: 775)
00539. catch sb's eye     (相邻汉明距离: 791)
00540. catch sb.'s eye    (相邻汉明距离: 147)
00541. eye level          (相邻汉明距离: 645)
00542. device element     (相邻汉明距离: 773)
00543. computergame       (相邻汉明距离: 810)
00544. computerized       (相邻汉明距离: 579)
00545. count out          (相邻汉明距离: 730)
00546. compared to        (相邻汉明距离: 761)
00547. different from     (相邻汉明距离: 663)
00548. distinctiveness    (相邻汉明距离: 658)
00549. deference          (相邻汉明距离: 731)
00550. doc.               (相邻汉明距离: 744)
00551. importation        (相邻汉明距离: 768)
00552. inattention        (相邻汉明距离: 784)
00553. attuned            (相邻汉明距离: 700)
00554. cherish            (相邻汉明距离: 746)
00555. derby              (相邻汉明距离: 753)
00556. debark             (相邻汉明距离: 685)
00557. detract from       (相邻汉明距离: 719)
00558. crowd out (of)     (相邻汉明距离: 750)
00559. crowding           (相邻汉明距离: 643)
00560. overstrain         (相邻汉明距离: 701)
00561. oversize           (相邻汉明距离: 610)
00562. Olympus            (相邻汉明距离: 697)
00563. cosmos             (相邻汉明距离: 653)
00564. fallout            (相邻汉明距离: 724)
00565. crestfallen        (相邻汉明距离: 668)
00566. fall in            (相邻汉明距离: 671)
00567. down in the dumps  (相邻汉明距离: 752)
00568. demand deposit     (相邻汉明距离: 785)
00569. demand to do       (相邻汉明距离: 716)
00570. for fear of        (相邻汉明距离: 791)
00571. for fear           (相邻汉明距离: 215)
00572. cowardice          (相邻汉明距离: 715)
00573. decimal            (相邻汉明距离: 787)
00574. confirmed          (相邻汉明距离: 658)
00575. exist              (相邻汉明距离: 579)
00576. consider... as     (相邻汉明距离: 713)
00577. How much... ?      (相邻汉明距离: 785)
00578. How many...        (相邻汉明距离: 492)
00579. Her name is Mary.  (相邻汉明距离: 808)
00580. Elise              (相邻汉明距离: 706)
00581. Laura              (相邻汉明距离: 665)
00582. Greenland          (相邻汉明距离: 748)
00583. Holland            (相邻汉明距离: 584)
00584. country (side)     (相邻汉明距离: 745)
00585. country            (相邻汉明距离: 588)
00586. continent          (相邻汉明距离: 492)
00587. city               (相邻汉明距离: 640)
00588. format             (相邻汉明距离: 685)
00589. date format        (相邻汉明距离: 618)
00590. daily rate         (相邻汉明距离: 729)
00591. dimensionless      (相邻汉明距离: 810)
00592. decrease           (相邻汉明距离: 721)
00593. define             (相邻汉明距离: 697)
00594. cry out (for)      (相邻汉明距离: 817)
00595. cry out            (相邻汉明距离: 284)
00596. cringing           (相邻汉明距离: 623)
00597. cranky             (相邻汉明距离: 504)
00598. I got so fed up.   (相邻汉明距离: 786)
00599. I'd like           (相邻汉明距离: 783)
00600. I'm three.         (相邻汉明距离: 713)
00601. I see.             (相邻汉明距离: 718)
00602. How do you do.     (相邻汉明距离: 744)
00603. come down to earth (相邻汉明距离: 770)
00604. cut back on        (相邻汉明距离: 731)
00605. cut back (on)      (相邻汉明距离: 278)
00606. cut into           (相邻汉明距离: 576)
00607. cut sth in half    (相邻汉明距离: 526)
00608. cross-section      (相邻汉明距离: 770)
00609. cross-talk         (相邻汉明距离: 640)
00610. choleric           (相邻汉明距离: 766)
00611. incur              (相邻汉明距离: 747)
00612. incarnadine        (相邻汉明距离: 681)
00613. incipient          (相邻汉明距离: 615)
00614. Hindi              (相邻汉明距离: 781)
00615. Helen              (相邻汉明距离: 776)
00616. Hartman            (相邻汉明距离: 713)
00617. Homer              (相邻汉明距离: 674)
00618. Henri Poincare     (相邻汉明距离: 683)
00619. Henry Ford         (相邻汉明距离: 639)
00620. co-founder         (相邻汉明距离: 738)
00621. a pair             (相邻汉明距离: 730)
00622. Ailes              (相邻汉明距离: 753)
00623. dabbe              (相邻汉明距离: 779)
00624. dingo              (相邻汉明距离: 705)
00625. dewy               (相邻汉明距离: 731)
00626. daze               (相邻汉明距离: 721)
00627. complacent         (相邻汉明距离: 754)
00628. inhospitable       (相邻汉明距离: 691)
00629. hostile            (相邻汉明距离: 436)
00630. contrary           (相邻汉明距离: 604)
00631. revolutionary      (相邻汉明距离: 736)
00632. revolt             (相邻汉明距离: 515)
00633. revamp             (相邻汉明距离: 588)
00634. expo               (相邻汉明距离: 749)
00635. deoxygenate        (相邻汉明距离: 732)
00636. desalination       (相邻汉明距离: 767)
00637. desalinize         (相邻汉明距离: 358)
00638. digestive          (相邻汉明距离: 745)
00639. delicious          (相邻汉明距离: 686)
00640. deliberately       (相邻汉明距离: 639)
00641. retard             (相邻汉明距离: 710)
