=== 语义排序结果体验 ===
算法: sorted_sig_filter_opt_10000.txt
单词总数: 10000
【核心性能与质量指标】
- 排序计算耗时: 768.138 ms
- 平均相邻汉明距离: 559.44 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 929 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 9986
--------------------------------------------------

00001. handshake          (起点)
00149. Saint Louis        (相邻汉明距离: 471)
00150. Lincoln            (相邻汉明距离: 583)
00151. Abraham Lincoln    (相邻汉明距离: 320)
00152. Harry S. Truman    (相邻汉明距离: 525)
00153. Jimmy Carter       (相邻汉明距离: 454)
00154. John F.Kennedy     (相邻汉明距离: 535)
00155. Kennedy            (相邻汉明距离: 353)
00156. Nixon              (相邻汉明距离: 463)
00157. Reagan             (相邻汉明距离: 465)
00158. Joe                (相邻汉明距离: 615)
00159. John               (相邻汉明距离: 338)
00160. Johnson            (相邻汉明距离: 322)
00161. Jones              (相邻汉明距离: 322)
00162. James              (相邻汉明距离: 405)
00163. Jimmy              (相邻汉明距离: 434)
00164. jam                (相邻汉明距离: 504)
00165. jab                (相邻汉明距离: 428)
00166. j                  (相邻汉明距离: 464)
00167. jaw                (相邻汉明距离: 495)
00168. ewe                (相邻汉明距离: 499)
00169. eel                (相邻汉明距离: 478)
00170. elope              (相邻汉明距离: 416)
00171. hound              (相邻汉明距离: 478)
00172. hog                (相邻汉明距离: 422)
00173. hoe                (相邻汉明距离: 400)
00174. hop                (相邻汉明距离: 350)
00175. HP                 (相邻汉明距离: 417)
00176. HB                 (相邻汉明距离: 487)
00177. hm                 (相邻汉明距离: 440)
00178. hung               (相邻汉明距离: 412)
00179. ha                 (相邻汉明距离: 371)
00180. has                (相邻汉明距离: 387)
00181. have               (相邻汉明距离: 179)
00182. had                (相邻汉明距离: 326)
00183. hi                 (相邻汉明距离: 449)
00184. Hi                 (相邻汉明距离: 250)
00185. IGH                (相邻汉明距离: 369)
00186. High               (相邻汉明距离: 440)
00187. highest            (相邻汉明距离: 363)
00188. above              (相邻汉明距离: 499)
00189. get above          (相邻汉明距离: 416)
00190. level off          (相邻汉明距离: 621)
00191. level the score    (相邻汉明距离: 527)
00192. high-level         (相邻汉明距离: 630)
00193. high-speed         (相邻汉明距离: 563)
00194. high-speed transmission (相邻汉明距离: 412)
00195. high time          (相邻汉明距离: 649)
00196. for the time       (相邻汉明距离: 553)
00197. for a time         (相邻汉明距离: 376)
00198. for a while        (相邻汉明距离: 443)
00199. quite a while      (相邻汉明距离: 441)
00200. in a little while  (相邻汉明距离: 571)
00201. for a moment       (相邻汉明距离: 616)
00202. for the moment     (相邻汉明距离: 330)
00203. just a moment      (相邻汉明距离: 447)
00204. just a minute      (相邻汉明距离: 403)
00205. just then          (相邻汉明距离: 541)
00206. just now           (相邻汉明距离: 361)
00207. right now          (相邻汉明距离: 489)
00208. current            (相邻汉明距离: 480)
00209. continuous         (相邻汉明距离: 504)
00210. continued          (相邻汉明距离: 365)
00211. continue           (相邻汉明距离: 221)
00212. continuation       (相邻汉明距离: 430)
00213. continuance        (相邻汉明距离: 373)
00214. continually        (相邻汉明距离: 480)
00215. constantly         (相邻汉明距离: 407)
00216. inconstant         (相邻汉明距离: 457)
00217. constancy          (相邻汉明距离: 506)
00218. consistency        (相邻汉明距离: 526)
00219. inconsistency      (相邻汉明距离: 411)
00220. inconsistent       (相邻汉明距离: 274)
00221. consistently       (相邻汉明距离: 500)
00222. consistent         (相邻汉明距离: 478)
00223. compatible         (相邻汉明距离: 419)
00224. commend            (相邻汉明距离: 462)
00225. accepted           (相邻汉明距离: 451)
00226. eligible           (相邻汉明距离: 474)
00227. inclusive          (相邻汉明距离: 453)
00228. inning             (相邻汉明距离: 444)
00229. ING                (相邻汉明距离: 306)
00230. Ins                (相邻汉明距离: 313)
00231. in                 (相邻汉明距离: 385)
00232. into               (相邻汉明距离: 355)
00233. inte               (相邻汉明距离: 388)
00234. ire                (相邻汉明距离: 384)
00235. ion                (相邻汉明距离: 365)
00236. inform             (相邻汉明距离: 519)
00237. inner              (相邻汉明距离: 500)
00238. intern             (相邻汉明距离: 391)
00239. internal           (相邻汉明距离: 336)
00240. integer            (相邻汉明距离: 410)
00241. int                (相邻汉明距离: 321)
00242. id                 (相邻汉明距离: 435)
00243. identifier         (相邻汉明距离: 407)
00244. identify           (相邻汉明距离: 388)
00245. licit              (相邻汉明距离: 578)
00246. liable             (相邻汉明距离: 356)
00247. lier               (相邻汉明距离: 388)
00248. li                 (相邻汉明距离: 357)
00249. lid                (相邻汉明距离: 340)
00250. lad                (相邻汉明距离: 376)
00251. lard               (相邻汉明距离: 327)
00252. lain               (相邻汉明距离: 410)
00253. liner              (相邻汉明距离: 370)
00254. lines              (相邻汉明距离: 485)
00255. line spacing       (相邻汉明距离: 583)
00256. line space         (相邻汉明距离: 383)
00257. line style         (相邻汉明距离: 408)
00258. line with          (相邻汉明距离: 490)
00259. lineal             (相邻汉明距离: 470)
00260. linearity          (相邻汉明距离: 457)
00261. line frequency     (相邻汉明距离: 521)
00262. line feed          (相邻汉明距离: 416)
00263. linefeed           (相邻汉明距离: 343)
00264. line break         (相邻汉明距离: 407)
00265. line wrap          (相邻汉明距离: 473)
00266. every other line   (相邻汉明距离: 592)
00267. first line         (相邻汉明距离: 582)
00268. line numbers       (相邻汉明距离: 574)
00269. gridlines          (相邻汉明距离: 599)
00270. grating            (相邻汉明距离: 632)
00271. grille             (相邻汉明距离: 530)
00272. grinder            (相邻汉明距离: 546)
00273. grinding           (相邻汉明距离: 346)
00274. grind out          (相邻汉明距离: 407)
00275. grind away at      (相邻汉明距离: 363)
00276. grind into dust    (相邻汉明距离: 493)
00277. Grasp all, lose all (相邻汉明距离: 660)
00278. grasp              (相邻汉明距离: 506)
00279. gesture            (相邻汉明距离: 596)
00280. movement           (相邻汉明距离: 502)
00281. emotion            (相邻汉明距离: 525)
00282. fluence            (相邻汉明距离: 428)
00283. hope               (相邻汉明距离: 493)
00284. hopefully          (相邻汉明距离: 403)
00285. pose               (相邻汉明距离: 470)
00286. pseudo             (相邻汉明距离: 446)
00287. pal                (相邻汉明距离: 489)
00288. pan                (相邻汉明距离: 397)
00289. PE                 (相邻汉明距离: 431)
00290. PRE                (相邻汉明距离: 477)
00291. preset             (相邻汉明距离: 452)
00292. platform           (相邻汉明距离: 635)
00293. plate              (相邻汉明距离: 426)
00294. ply                (相邻汉明距离: 451)
00295. plural             (相邻汉明距离: 447)
00296. lapping            (相邻汉明距离: 509)
00297. junction           (相邻汉明距离: 524)
00298. junto              (相邻汉明距离: 458)
00299. junta              (相邻汉明距离: 475)
00300. jumbo              (相邻汉明距离: 572)
00301. jumble             (相邻汉明距离: 584)
00302. jigsaw             (相邻汉明距离: 610)
00303. jibe               (相邻汉明距离: 629)
00304. gibe               (相邻汉明距离: 502)
00305. gabby              (相邻汉明距离: 614)
00306. goblin             (相邻汉明距离: 584)
00307. giant              (相邻汉明距离: 640)
00308. giga               (相邻汉明距离: 506)
00309. gigabyte           (相邻汉明距离: 474)
00310. KB                 (相邻汉明距离: 603)
00311. ken                (相邻汉明距离: 484)
00312. kin                (相邻汉明距离: 318)
00313. kip                (相邻汉明距离: 374)
00314. key                (相邻汉明距离: 456)
00315. function key       (相邻汉明距离: 390)
00316. key name           (相邻汉明距离: 376)
00317. keyed              (相邻汉明距离: 378)
00318. keypunch           (相邻汉明距离: 483)
00319. keypad             (相邻汉明距离: 444)
00320. keyboard           (相邻汉明距离: 439)
00321. keyboard entry     (相邻汉明距离: 448)
00322. key combination    (相邻汉明距离: 520)
00323. key component      (相邻汉明距离: 501)
00324. key word           (相邻汉明距离: 486)
00325. keyword index      (相邻汉明距离: 430)
00326. keynote            (相邻汉明距离: 579)
00327. key figure         (相邻汉明距离: 625)
00328. key frame          (相邻汉明距离: 604)
00329. freeze frame       (相邻汉明距离: 540)
00330. frame index        (相邻汉明距离: 533)
00331. framing            (相邻汉明距离: 550)
00332. frame up           (相邻汉明距离: 433)
00333. frame              (相邻汉明距离: 463)
00334. fiber              (相邻汉明距离: 539)
00335. fabric             (相邻汉明距离: 460)
00336. fabricant          (相邻汉明距离: 556)
00337. manufacturing      (相邻汉明距离: 603)
00338. manufacture        (相邻汉明距离: 380)
00339. manufactured       (相邻汉明距离: 334)
00340. manufacturer       (相邻汉明距离: 555)
00341. maker              (相邻汉明距离: 375)
00342. made               (相邻汉明距离: 385)
00343. make of            (相邻汉明距离: 541)
00344. make... of         (相邻汉明距离: 369)
00345. make for           (相邻汉明距离: 463)
00346. make time for      (相邻汉明距离: 515)
00347. make time          (相邻汉明距离: 392)
00348. mark time          (相邻汉明距离: 541)
00349. marked record      (相邻汉明距离: 460)
00350. mark               (相邻汉明距离: 490)
00351. mark symbol        (相邻汉明距离: 469)
00352. mark off           (相邻汉明距离: 411)
00353. marking            (相邻汉明距离: 437)
00354. markedly           (相邻汉明距离: 566)
00355. distinctly         (相邻汉明距离: 522)
00356. distinctiveness    (相邻汉明距离: 464)
00357. distinction        (相邻汉明距离: 431)
00358. distinguish between (相邻汉明距离: 431)
00359. distinguish from   (相邻汉明距离: 326)
00360. distinguish... from (相邻汉明距离: 188)
00361. distinguish... from... (相邻汉明距离: 170)
00362. separate...from... (相邻汉明距离: 521)
00363. separation         (相邻汉明距离: 544)
00364. disconnection      (相邻汉明距离: 645)
00365. disconnected       (相邻汉明距离: 298)
00366. disconnect         (相邻汉明距离: 342)
00367. dispose            (相邻汉明距离: 438)
00368. disposed           (相邻汉明距离: 328)
00369. disabled           (相邻汉明距离: 426)
00370. inactive           (相邻汉明距离: 405)
00371. inactive window    (相邻汉明距离: 442)
00372. inactive file      (相邻汉明距离: 401)
00373. deactivated        (相邻汉明距离: 583)
00374. inactivate         (相邻汉明距离: 558)
00375. inhibited          (相邻汉明距离: 588)
00376. inhibitive         (相邻汉明距离: 401)
00377. inventive          (相邻汉明距离: 591)
00378. inventor           (相邻汉明距离: 454)
00379. invention          (相邻汉明距离: 446)
00380. inversion          (相邻汉明距离: 558)
00381. investee           (相邻汉明距离: 582)
00382. investor           (相邻汉明距离: 443)
00383. investment portfolio (相邻汉明距离: 534)
00384. investment         (相邻汉明距离: 565)
00385. fund               (相邻汉明距离: 535)
00386. fed                (相邻汉明距离: 491)
00387. feed               (相邻汉明距离: 400)
00388. eating             (相邻汉明距离: 424)
00389. consume            (相邻汉明距离: 517)
00390. consumed           (相邻汉明距离: 374)
00391. consumption        (相邻汉明距离: 405)
00392. consumption-oriented (相邻汉明距离: 440)
00393. consumeristic      (相邻汉明距离: 546)
00394. consumerism        (相邻汉明距离: 366)
00395. conspicuous consumption (相邻汉明距离: 485)
00396. conspicuously      (相邻汉明距离: 503)
00397. conspicuous        (相邻汉明距离: 162)
00398. inconspicuous      (相邻汉明距离: 439)
00399. inconvenient       (相邻汉明距离: 515)
00400. conveniently       (相邻汉明距离: 502)
00401. convenient for     (相邻汉明距离: 322)
00402. expedient          (相邻汉明距离: 619)
00403. expedience         (相邻汉明距离: 493)
00404. expedite           (相邻汉明距离: 573)
00405. expel              (相邻汉明距离: 582)
00406. exile              (相邻汉明距离: 555)
00407. ex-                (相邻汉明距离: 607)
00408. exor               (相邻汉明距离: 499)
00409. expo               (相邻汉明距离: 554)
00410. exp                (相邻汉明距离: 462)
00411. explicit           (相邻汉明距离: 522)
00412. inline             (相邻汉明距离: 473)
00413. indent             (相邻汉明距离: 503)
00414. indentation        (相邻汉明距离: 394)
00415. indention          (相邻汉明距离: 266)
00416. indent from left   (相邻汉明距离: 494)
00417. left indent        (相邻汉明距离: 418)
00418. flush left         (相邻汉明距离: 606)
00419. flush right        (相邻汉明距离: 532)
00420. Make a right.      (相邻汉明距离: 529)
00421. right then         (相邻汉明距离: 428)
00422. right-hand         (相邻汉明距离: 449)
00423. right-hander       (相邻汉明距离: 373)
00424. left-hander        (相邻汉明距离: 397)
00425. left-handed        (相邻汉明距离: 347)
00426. left-handedness    (相邻汉明距离: 243)
00427. left hand          (相邻汉明距离: 378)
00428. hand operation     (相邻汉明距离: 549)
00429. hand made          (相邻汉明距离: 525)
00430. man-made           (相邻汉明距离: 526)
00431. manmade            (相邻汉明距离: 215)
00432. self-made          (相邻汉明距离: 516)
00433. homemade           (相邻汉明距离: 511)
00434. homemaker          (相邻汉明距离: 582)
00435. homeowner          (相邻汉明距离: 551)
00436. resident           (相邻汉明距离: 609)
00437. locator            (相邻汉明距离: 554)
00438. locale             (相邻汉明距离: 515)
00439. country            (相邻汉明距离: 567)
00440. continent          (相邻汉明距离: 492)
00441. continental        (相邻汉明距离: 391)
00442. Pacific            (相邻汉明距离: 473)
00443. Indian Ocean       (相邻汉明距离: 480)
00444. ocean              (相邻汉明距离: 502)
00445. Marine             (相邻汉明距离: 458)
00446. sea-bed            (相邻汉明距离: 560)
00447. sea route          (相邻汉明距离: 576)
00448. seafaring          (相邻汉明距离: 548)
00449. seamanship         (相邻汉明距离: 457)
00450. seam               (相邻汉明距离: 595)
00451. sewn               (相邻汉明距离: 467)
00452. hand-sewn          (相邻汉明距离: 462)
00453. hired hand         (相邻汉明距离: 662)
00454. hand money         (相邻汉明距离: 631)
00455. hand-me-down       (相邻汉明距离: 536)
00456. hand down          (相邻汉明距离: 441)
00457. get down           (相邻汉明距离: 497)
00458. get down to        (相邻汉明距离: 234)
00459. get down to sth    (相邻汉明距离: 291)
00460. hand sth down to sb (相邻汉明距离: 465)
00461. expect sth. of sb. (相邻汉明距离: 532)
00462. make sth out       (相邻汉明距离: 532)
00463. make sth. out of   (相邻汉明距离: 267)
00464. make sth of        (相邻汉明距离: 424)
00465. make sth do        (相邻汉明距离: 386)
00466. do up sth          (相邻汉明距离: 480)
00467. do up              (相邻汉明距离: 331)
00468. join up            (相邻汉明距离: 562)
00469. unionize           (相邻汉明距离: 518)
00470. disunite           (相邻汉明距离: 591)
00471. importunate        (相邻汉明距离: 547)
00472. importune          (相邻汉明距离: 520)
00473. fun                (相邻汉明距离: 616)
00474. fen                (相邻汉明距离: 434)
00475. fell               (相邻汉明距离: 404)
00476. fall               (相邻汉明距离: 393)
00477. fall in            (相邻汉明距离: 475)
00478. fall to            (相邻汉明距离: 310)
00479. fall across        (相邻汉明距离: 421)
00480. fell over          (相邻汉明距离: 522)
00481. fell off           (相邻汉明距离: 410)
00482. falling off a cliff (相邻汉明距离: 510)
00483. cliff              (相邻汉明距离: 539)
00484. clique             (相邻汉明距离: 612)
00485. clenched           (相邻汉明距离: 659)
00486. clench             (相邻汉明距离: 295)
00487. clump              (相邻汉明距离: 523)
00488. clumplike          (相邻汉明距离: 469)
00489. clumsy             (相邻汉明距离: 475)
00490. kludge             (相邻汉明距离: 494)
00491. ruddy              (相邻汉明距离: 631)
00492. rusty              (相邻汉明距离: 515)
00493. russet             (相邻汉明距离: 508)
00494. frust              (相邻汉明距离: 601)
00495. frustrated         (相邻汉明距离: 422)
00496. frustration        (相邻汉明距离: 346)
00497. distraught         (相邻汉明距离: 602)
00498. distrait           (相邻汉明距离: 432)
00499. distract ... from  (相邻汉明距离: 515)
00500. distract           (相邻汉明距离: 321)
00501. distracted         (相邻汉明距离: 313)
00502. undistracted       (相邻汉明距离: 477)
00503. distrust           (相邻汉明距离: 560)
00504. distrustful        (相邻汉明距离: 278)
00505. mistrustful        (相邻汉明距离: 341)
00506. confide in         (相邻汉明距离: 620)
00507. confide            (相邻汉明距离: 244)
00508. confide to         (相邻汉明距离: 176)
00509. confidentially     (相邻汉明距离: 557)
00510. confidential       (相邻汉明距离: 300)
00511. confessional       (相邻汉明距离: 501)
00512. confession         (相邻汉明距离: 381)
00513. confess            (相邻汉明距离: 314)
00514. confront           (相邻汉明距离: 592)
00515. confrontation      (相邻汉明距离: 295)
00516. imposition         (相邻汉明距离: 659)
00517. impose on          (相邻汉明距离: 386)
00518. impose             (相邻汉明距离: 208)
00519. imply              (相邻汉明距离: 477)
00520. implied            (相邻汉明距离: 331)
00521. implied contract   (相邻汉明距离: 392)
00522. infringement of contract (相邻汉明距离: 620)
00523. infringe on        (相邻汉明距离: 515)
00524. inflict on         (相邻汉明距离: 554)
00525. inflict sth on sb  (相邻汉明距离: 327)
00526. give ... impression on sb. (相邻汉明距离: 645)
00527. make ... impression on sb. (相邻汉明距离: 327)
00528. impress sb. with sth. (相邻汉明距离: 435)
00529. impressiveness's   (相邻汉明距离: 530)
00530. impressively       (相邻汉明距离: 353)
00531. impress            (相邻汉明距离: 424)
00532. impress... on      (相邻汉明距离: 343)
00533. impressionable     (相邻汉明距离: 473)
00534. impressionist      (相邻汉明距离: 519)
00535. impressionism      (相邻汉明距离: 209)
00536. impel              (相邻汉明距离: 684)
00537. impend             (相邻汉明距离: 494)
00538. imponderable       (相邻汉明距离: 506)
00539. impossible         (相邻汉明距离: 508)
00540. impracticable      (相邻汉明距离: 467)
00541. impractical        (相邻汉明距离: 295)
00542. implausible        (相邻汉明距离: 495)
00543. imaginable         (相邻汉明距离: 571)
00544. imaginary          (相邻汉明距离: 506)
00545. imaginary number   (相邻汉明距离: 379)
00546. imag               (相邻汉明距离: 677)
00547. imagery            (相邻汉明距离: 485)
00548. imaging            (相邻汉明距离: 553)
00549. imaging system     (相邻汉明距离: 434)
00550. detecting system   (相邻汉明距离: 674)
00551. detectable         (相邻汉明距离: 497)
00552. detector           (相邻汉明距离: 492)
00553. notice             (相邻汉明距离: 512)
00554. confirmation       (相邻汉明距离: 455)
00555. confirm            (相邻汉明距离: 269)
00556. confirmed          (相邻汉明距离: 316)
00557. formed             (相邻汉明距离: 518)
00558. construct          (相邻汉明距离: 531)
00559. construction       (相邻汉明距离: 388)
00560. industry           (相邻汉明距离: 516)
00561. economic           (相邻汉明距离: 572)
00562. economise          (相邻汉明距离: 559)
00563. economize          (相邻汉明距离: 278)
00564. frugality          (相邻汉明距离: 577)
00565. frugal             (相邻汉明距离: 312)
00566. frugal private life (相邻汉明距离: 425)
00567. frump              (相邻汉明距离: 749)
00568. rumpus             (相邻汉明距离: 592)
00569. rudder             (相邻汉明距离: 626)
00570. rudeness           (相邻汉明距离: 661)
00571. ruthless           (相邻汉明距离: 585)
00572. futile             (相邻汉明距离: 598)
00573. futility           (相邻汉明距离: 463)
00574. fade               (相邻汉明距离: 589)
00575. fade in            (相邻汉明距离: 456)
00576. fade away          (相邻汉明距离: 531)
00577. die away           (相邻汉明距离: 471)
00578. die out            (相邻汉明距离: 402)
00579. die from           (相邻汉明距离: 388)
00580. die of...          (相邻汉明距离: 428)
00581. die off            (相邻汉明距离: 395)
00582. come off           (相邻汉明距离: 492)
00583. go off             (相邻汉明距离: 399)
00584. go off sb          (相邻汉明距离: 317)
00585. see sb off         (相邻汉明距离: 449)
00586. get sb. out of     (相邻汉明距离: 411)
00587. keep sb out of     (相邻汉明距离: 298)
00588. keep sb from doing (相邻汉明距离: 352)
00589. keep sb on         (相邻汉明距离: 277)
00590. keep sb up         (相邻汉明距离: 336)
00591. make sb up         (相邻汉明距离: 356)
00592. catch sb up        (相邻汉明距离: 376)
00593. catch sb.'s eye    (相邻汉明距离: 430)
00594. catch sb's eye     (相邻汉明距离: 147)
00595. in sb.'s hands     (相邻汉明距离: 515)
00596. in sb.'s pocket    (相邻汉明距离: 440)
00597. in the presence of sb. (相邻汉明距离: 549)
00598. get in sb.'s way   (相邻汉明距离: 539)
00599. get on sb.'s nerves (相邻汉明距离: 484)
00600. get sb.'s goat     (相邻汉明距离: 524)
00601. go for sb          (相邻汉明距离: 530)
00602. make for sb        (相邻汉明距离: 454)
00603. make sb.'s hair stand on end (相邻汉明距离: 512)
00604. make sb upset      (相邻汉明距离: 465)
00605. follow sb's advice (相邻汉明距离: 518)
00606. follow sb.'s lead  (相邻汉明距离: 340)
00607. sb agree with sb   (相邻汉明距离: 507)
00608. sb                 (相邻汉明距离: 534)
00609. sal                (相邻汉明距离: 459)
00610. say                (相邻汉明距离: 454)
00611. says               (相邻汉明距离: 234)
00612. give               (相邻汉明距离: 547)
00613. get                (相邻汉明距离: 333)
00614. got                (相邻汉明距离: 348)
00615. going              (相邻汉明距离: 419)
00616. goto               (相邻汉明距离: 456)
00617. gob                (相邻汉明距离: 543)
00618. gosh               (相邻汉明距离: 449)
00619. g                  (相邻汉明距离: 560)
00620. ger                (相邻汉明距离: 391)
00621. gen                (相邻汉明距离: 341)
00622. generator          (相邻汉明距离: 380)
00623. creator            (相邻汉明距离: 464)
00624. creative           (相邻汉明距离: 408)
00625. complex            (相邻汉明距离: 598)
00626. real               (相邻汉明距离: 555)
00627. for real           (相邻汉明距离: 449)
00628. for                (相邻汉明距离: 637)
00629. fern               (相邻汉明距离: 469)
00630. FI                 (相邻汉明距离: 475)
00631. fin                (相邻汉明距离: 358)
00632. finis              (相邻汉明距离: 420)
00633. finish off         (相邻汉明距离: 414)
00634. finish doing       (相邻汉明距离: 337)
00635. finish with sth    (相邻汉明距离: 422)
00636. finishing          (相邻汉明距离: 553)
00637. finish condition   (相邻汉明距离: 413)
00638. finish line        (相邻汉明距离: 473)
00639. finale             (相邻汉明距离: 497)
00640. finalist           (相邻汉明距离: 483)
00641. in the final analysis (相邻汉明距离: 572)
00642. conclusion         (相邻汉明距离: 648)
00643. conclude           (相邻汉明距离: 387)
