absolutist | adj. | 专制主义的；绝对主义的
inescapably | adv. | 不可避免地，不容忽视地
inexpressible | adj. | (感情) 难以言传的，无法形容的
inherited | adj. | 遗传的；继承的，继承得来的
interdependence | n. | 互相依赖
intermarriage | n. | 通婚；近亲结婚
interprovincial | adj. | 省与省之间的，省际的
jobseeker | n. | 求职者
lancet | n. | 手术刀，柳叶刀
liberalize | vt. | 更加放宽，使...更自由
liberalize | vi. | 更加放宽，使...更自由
limbic | adj. | 边缘系统的；边缘的
long-standing | adj. | 存在已久的，悠久的
longline | n. | (深海钓⻥用) 延绳
low-cost | adj. | 低成本的
low-level | adj. | 低级别的；微弱的；离地面近的
male- dominated | adj. | 男性占主导地位的
marginalize | vt. | 使显得微不足道，使边缘化
matchmaker | n. | 媒人，红娘
mechanistic | adj. | 机械论的
meritocracy | n. | 精英领导体制，英才管理制度
microbiologist | n. | 微生物学家
militantly | adv. | 好战地，好斗地，激进地
millennial | n. | 千禧一代的人
millennial | adj. | 千禧年的，千年的；千禧一代的
mindlessly | adv. | 不动脑筋地，盲目地
miniaturization | n. | 小型化，微型化
minimalist | n. | 极简抽象派艺术家，简约主义者
minimalist | adj. | 极简抽象派的，简约主义的
misinterpretation | n. | 误解，曲解
monoglot | adj. | 掌握单一语言的
monoglot | n. | 掌握单一语言者
mutability | n. | 可变性
native-born | adj. | 本地生的，土生土⻓的
netball | n. | 无挡板篮球
newsprint | n. | 新闻纸，白报纸
newsroom | n. | 新闻编辑室
non- materialistic | adj. | 非物质的
non-standard | adj. | 不标准的；(语言)不规范的
off-the-cuff | adj. | 未经准备的，当场的，即兴的
omnivore | n. | 杂⻝动物，杂⻝的人
oncogene | n. | 致癌基因
one-shot | adj. | 一次性的，仅一次的
open-access | adj. | 开源的，开放获取的
out-of-town | adj. | 外来的，在外地的；城郊的
outsize | adj. | 特大号的，超大的
outsource | vi. | 外包，外办
outsource | vt. | 外包，外办
over-the- counter | adj. | (药品) 非处方的
overblown | adj. | 夸张的，过分渲染的
overpay | vi. | 多付，付款过多
overpay | vt. | 给 (某人) 薪酬过多
overpay | vt. | 多付，付款过多
oversize | adj. | 特大号的，硕大的，太大的
overstep | vt. | 僭越，逾越
overvalue | vt. | 过高估计，过于重视
oxytocin | n. | 催产素
paediatrics | n. | 儿科学
performative | adj. | 表述行为的
pharaoh | n. | (古埃及的) 法老
phrasing | n. | 用语，措辞；乐句划分
potash | n. | 钾碱
prefrontal | adj. | 额叶前部的
prewar | adj. | 战前的，(尤指) 二战以前的
priestly | adj. | 神职人员的
professionalize | vi. | 使专业化，使职业化
professionalize | vt. | 使专业化，使职业化
profit-making | adj. | 营利的，能赚钱的
proportionality | n. | 相称原则，恰当性
psychoactive | adj. | (药) 作用于精神的
puritan | adj. | 清教徒的，禁欲苦行的
puritan | n. | 禁欲者，苦行者；清教徒
pushback | n. | 反对，抵制
rasher | n. | 熏肉片，火腿片
re-evaluate | vt. | 重新考虑，再评价，再评估
realtor | n. | 房地产经纪人
regrettably | adv. | 令人遗憾地，使人懊悔地
reportorial | adj. | 记者的，新闻报道的
representational | adj. | (艺术⻛格) 具象派的；代表性的
self-interested | adj. | 自私的
shipload | n. | 船只运载量
short-termism | n. | 短期效益主义
sighted | adj. | 能看⻅的；视力...的
skint | adj. | 没钱的，身无分文的
slip-up | n. | 疏漏，差错
sludge | n. | 烂泥；工业污物
spam | vt. | 向...滥发垃圾邮件
spam | n. | 垃圾邮件；(斯帕姆) 午餐肉
stakeholder | n. | 股东，利益相关者
stickiness | n. | 黏性，黏黏糊糊
strikingly | adv. | 引人注目地，显著地，突出地
studiously | adv. | 刻意地，成心
tagline | n. | 标语，口号
technicist | n. | 技师，技术人员
theorize | vi. | 从理论上说明，形成理论
theorize | vt. | 从理论上说明，形成理论
think tank | n. | 智库
timescale | n. | 做某事所需要的时间，期限
toll-free | adj. | (打给服务部⻔的电话) 免费的
traceable | adj. | 可追溯的，可追踪的
transcendentalist | adj. | 超验论的，与超验主义相关的
transcendentalist | n. | 超验论者，超验主义者
trustworthiness | n. | 值得信赖，可靠
unacknowledged | adj. | 未被认可的
uncool | adj. | 不时髦的，不帅的，不潇洒的
undeveloped | adj. | 不成熟的，未充分发育的
undeveloped | adj. | 未开发的；不发达的，落后的
unfashionable | adj. | 不时髦的，过时的
unfeasible | adj. | 不可行的，难以实现的
unfocused | adj. | (眼睛) 未聚焦的；漫无目的的
unionize | vt. | 组织 (或成立、加入) 工会
unionize | vi. | 组织 (或成立、加入) 工会
universality | n. | 普遍性，通用性
unlearned | adj. | 未受教育的；天生就会的
unrepresentative | adj. | 不典型的，无代表性的
unseat | vt. | 罢免，使...下台；使摔下
unsurprisingly | adv. | 不令人惊奇地，不出所料地
untested | adj. | 未经试验 (或考验) 的
woodcut | n. | 木版画，木刻
wrongdoing | n. | 违法行为，坏事
